Project ID,Project Name,Work Description,Category,Sub Category,Work Type,Current Stage,Total Budget (₹),Physical Progress (%),Financial Progress (%),Risk Level,Circle,Village,Mandal,District,Survey Numbers,Contractor,Contractor Grade,Priority
ENV-2025-089-C1,"Tellapur Lake Rejuvenation","Rejuvenation and beautification of Tellapur lake including desilting, bund strengthening and pathway development",ENV,PC,LAKES,9,1994261279,92.6,86.8,HIGH,C1,Tellapur,Ramachandrapuram,Rangareddy,"543","Nagarjuna Construction",A,HIGH
URBAN-2025-090-C2,"Patancheru Convention Center","Construction of Sports Complex at Patancheru, Patancheru including all amenities and infrastructure",URBAN,PA,BUILDINGS,2,11243380751,25.3,17.5,LOW,C2,Patancheru,Patancheru,Sangareddy,"318, 319, 320","KNR Constructions",A,MEDIUM
URBAN-2025-091-C4,"Infrastructure Development at Lemoor","Providing Infrastructure facilities for the proposed layout at Lemoor (Sy.No.338/1, 339/1B, 340), Kandukur (M), Rangareddy District",URBAN,TD,LAYOUTS,2,3513918006,21.4,15.4,LOW,C4,Lemoor,Kandukur,Rangareddy,"338/1, 339/1B, 340","Tata Projects",AAA,LOW
URBAN-2025-092-C2,"Lemoor Layout - Phase I","Providing Infrastructure facilities for the proposed layout at Lemoor (Sy.No.479/3, 480/2), Kandukur (M), Rangareddy District",URBAN,TD,LAYOUTS,9,194511183319,98.7,89,HIGH,C2,Lemoor,Kandukur,Rangareddy,"479/3, 480/2","KNR Constructions",A,HIGH
URBAN-2025-093-C2,"Patancheru Skill Development Center","Construction of Cultural Center at Patancheru, Patancheru including all amenities and infrastructure",URBAN,PA,BUILDINGS,8,42469559843,80.7,75.9,MEDIUM,C2,Patancheru,Patancheru,Sangareddy,"582/3, 583","AFCONS Infrastructure",AA,MEDIUM
INFRA-2025-094-C5,"Patancheru IoT Network - Zone B","Development of smart city infrastructure including digital kiosks at Patancheru, Patancheru",INFRA,WS,INFRASTRUCTURE,1,88541226775,7.4,5.8,MEDIUM,C5,Patancheru,Patancheru,Sangareddy,"537/5","Simplex Infrastructures",A,MEDIUM
URBAN-2025-095-C2,"HMDA Office at Gachibowli","Construction of Office Complex at Gachibowli, Serilingampally including all amenities and infrastructure",URBAN,PA,BUILDINGS,6,926364347,69.6,64.9,MEDIUM,C2,Gachibowli,Serilingampally,Hyderabad,"513/2","Simplex Infrastructures",A,MEDIUM
ENV-2025-096-C5,"Nizampet Lake Beautification","Rejuvenation and beautification of Nizampet lake including desilting, bund strengthening and pathway development",ENV,PC,LAKES,6,59139774327,67.2,59,MEDIUM,C5,Nizampet,Quthbullapur,Medchal-Malkajgiri,"100p","IRB Infrastructure",AA,MEDIUM
SMART-2025-097-C5,"BHEL Digital Hub - Zone B","Development of smart city infrastructure including surveillance network at Patancheru, Patancheru",SMART,DI,INFRASTRUCTURE,8,796434840,89.2,82.8,LOW,C5,Patancheru,Patancheru,Sangareddy,"178/4","IRB Infrastructure",AA,MEDIUM
INFRA-2025-098-C4,"Kompally Smart City Infrastructure - Sector 1","Development of smart city infrastructure including traffic management systems at Kompally, Quthbullapur",INFRA,PU,INFRASTRUCTURE,3,99314646176,30.1,22.1,MEDIUM,C4,Kompally,Quthbullapur,Medchal-Malkajgiri,"555C, 556C","MEIL",AA,MEDIUM
ENV-2025-099-C1,"Bhongir Fort Green Park","Development and beautification of urban park at Bhongir including walking tracks, children play area and landscaping",ENV,GI,PARKS,4,100403565203,45.9,45.2,HIGH,C1,Bhongir,Bhongir,Yadadri Bhuvanagiri,"485, 486","Simplex Infrastructures",A,HIGH
ENV-2025-100-C1,"Tellapur Lake Beautification","Rejuvenation and beautification of Tellapur lake including desilting, bund strengthening and pathway development",ENV,PC,LAKES,8,22268436141,84.9,81.6,MEDIUM,C1,Tellapur,Ramachandrapuram,Rangareddy,"327, 328/3","MEIL",AA,MEDIUM
URBAN-2025-101-C1,"Tellapur Layout - Phase I","Providing Infrastructure facilities for the proposed layout at Tellapur (Sy.No.132, 133/3, 134), Ramachandrapuram (M), Rangareddy District",URBAN,AD,LAYOUTS,4,212821261245,44.6,38.9,HIGH,C1,Tellapur,Ramachandrapuram,Rangareddy,"132, 133/3, 134","L&T Construction",AAA,HIGH
ENV-2025-102-C1,"Bhongir Water Body Development","Rejuvenation and beautification of Bhongir lake including desilting, bund strengthening and pathway development",ENV,PC,LAKES,9,67082175130,97.6,94.2,MEDIUM,C1,Bhongir,Bhongir,Yadadri Bhuvanagiri,"572/3, 573","L&T Construction",AAA,MEDIUM
URBAN-2025-103-C1,"Gachibowli Community Center","Construction of Community Center at Gachibowli, Serilingampally including all amenities and infrastructure",URBAN,PA,BUILDINGS,3,111726885610,35.6,30,HIGH,C1,Gachibowli,Serilingampally,Hyderabad,"379, 380/5, 381","L&T Construction",AAA,HIGH
URBAN-2025-104-C3,"Infrastructure Development at Inmulnarva","Providing Infrastructure facilities for the proposed layout at Inmulnarva (Sy.No.594), Rangareddy (M), Rangareddy District",URBAN,TD,LAYOUTS,8,38798295923,85.9,76.2,HIGH,C3,Inmulnarva,Rangareddy,Rangareddy,"594","IRB Infrastructure",AA,HIGH
ENV-2025-105-C2,"Banjara Hills Eco Park - Phase A","Development and beautification of urban park at Banjara Hills including walking tracks, children play area and landscaping",ENV,GI,PARKS,4,18052951555,45,36.5,LOW,C2,Banjara Hills,Banjara Hills,Hyderabad,"387, 388, 389/5","IRB Infrastructure",AA,MEDIUM
INFRA-2025-106-C3,"RGI Airport Command Center - Sector 1","Development of smart city infrastructure including traffic management systems at Shamshabad, Shamshabad",INFRA,WS,INFRASTRUCTURE,1,13856615731,15.5,12.8,LOW,C3,Shamshabad,Shamshabad,Rangareddy,"115","AFCONS Infrastructure",AA,MEDIUM
ENV-2025-107-C4,"Narsingi Children's Park","Development and beautification of urban park at Narsingi including walking tracks, children play area and landscaping",ENV,GI,PARKS,8,15748339429,90,89.8,LOW,C4,Narsingi,Rajendranagar,Rangareddy,"594, 595, 596A","Tata Projects",AAA,MEDIUM
SMART-2025-108-C4,"BHEL Command Center - Zone C","Development of smart city infrastructure including surveillance network at Patancheru, Patancheru",SMART,DI,INFRASTRUCTURE,6,5317009176,62.5,59.2,LOW,C4,Patancheru,Patancheru,Sangareddy,"389, 390C","Nagarjuna Construction",A,MEDIUM
SMART-2025-109-C2,"Kompally Smart City Infrastructure - Sector 2","Development of smart city infrastructure including smart parking systems at Kompally, Quthbullapur",SMART,IS,INFRASTRUCTURE,3,23859658501,30.1,20.2,LOW,C2,Kompally,Quthbullapur,Medchal-Malkajgiri,"237","Nagarjuna Construction",A,MEDIUM
INFRA-2025-110-C2,"IIT Campus Road Improvement Works","Construction and improvement of road from IIT Campus to IIT Campus including widening, drainage and street lighting in Kompally, Quthbullapur",INFRA,RT,ROADS,8,568718984,80.2,78.5,LOW,C2,Kompally,Quthbullapur,Medchal-Malkajgiri,"249/5","NCC Limited",AA,MEDIUM
SMART-2025-111-C3,"Patancheru Smart City Infrastructure - Zone B","Development of smart city infrastructure including smart parking systems at Patancheru, Patancheru",SMART,IS,INFRASTRUCTURE,6,1627217612,61.4,52.4,LOW,C3,Patancheru,Patancheru,Sangareddy,"285, 286/3","AFCONS Infrastructure",AA,MEDIUM
ENV-2025-112-C4,"Puppalaguda Water Body Development","Rejuvenation and beautification of Puppalaguda lake including desilting, bund strengthening and pathway development",ENV,PC,LAKES,1,73481039903,14.8,12,MEDIUM,C4,Puppalaguda,Rajendranagar,Rangareddy,"358","NCC Limited",AA,MEDIUM
ENV-2025-113-C1,"Nizampet Lake Conservation Project","Rejuvenation and beautification of Nizampet lake including desilting, bund strengthening and pathway development",ENV,PC,LAKES,3,16018282538,35.9,29.2,LOW,C1,Nizampet,Quthbullapur,Medchal-Malkajgiri,"448, 449, 450","Ramky Infrastructure",A,MEDIUM
ENV-2025-114-C1,"Narsingi Cross Roads Park Beautification","Development and beautification of urban park at Narsingi including walking tracks, children play area and landscaping",ENV,GI,PARKS,2,75038746280,28.8,21.9,MEDIUM,C1,Narsingi,Rajendranagar,Rangareddy,"465","Simplex Infrastructures",A,MEDIUM
ENV-2025-115-C1,"Kondapur Urban Park Development","Development and beautification of urban park at Kondapur including walking tracks, children play area and landscaping",ENV,GI,PARKS,1,476614144001,7.3,1.6,HIGH,C1,Kondapur,Serilingampally,Hyderabad,"526/5, 527/4, 528/2","Nagarjuna Construction",A,HIGH
URBAN-2025-116-C1,"Kokapet Convention Center","Construction of Cultural Center at Kokapet, Rajendranagar including all amenities and infrastructure",URBAN,PA,BUILDINGS,3,778331885,38.6,33.7,LOW,C1,Kokapet,Rajendranagar,Rangareddy,"377","IRB Infrastructure",AA,LOW
ENV-2025-117-C3,"Nizampet Tank Restoration","Rejuvenation and beautification of Nizampet lake including desilting, bund strengthening and pathway development",ENV,PC,LAKES,9,2609187920,97.9,90,HIGH,C3,Nizampet,Quthbullapur,Medchal-Malkajgiri,"137, 138/4","L&T Construction",AAA,HIGH
INFRA-2025-118-C2,"RGI Airport Command Center - Sector 2","Development of smart city infrastructure including smart street lighting at Shamshabad, Shamshabad",INFRA,PU,INFRASTRUCTURE,8,1119931051,82.5,76.4,MEDIUM,C2,Shamshabad,Shamshabad,Rangareddy,"525","Nagarjuna Construction",A,MEDIUM
ENV-2025-119-C3,"Narsingi Eco Park - Phase I","Development and beautification of urban park at Narsingi including walking tracks, children play area and landscaping",ENV,GI,PARKS,6,978522802,65,56.8,LOW,C3,Narsingi,Rajendranagar,Rangareddy,"229/5A","KNR Constructions",A,MEDIUM
ENV-2025-120-C3,"Kollur Lake Conservation Project","Rejuvenation and beautification of Kollur lake including desilting, bund strengthening and pathway development",ENV,PC,LAKES,9,57566233147,97.2,96.6,MEDIUM,C3,Kollur,Ramachandrapuram,Sangareddy,"591/3C","NCC Limited",AA,MEDIUM
ENV-2025-121-C4,"Road No. 36 Green Park","Development and beautification of urban park at Jubilee Hills including walking tracks, children play area and landscaping",ENV,GI,PARKS,9,10113965894,97.8,96.3,HIGH,C4,Jubilee Hills,Jubilee Hills,Hyderabad,"301","AFCONS Infrastructure",AA,HIGH
URBAN-2025-122-C4,"Lemoor Township Development","Providing Infrastructure facilities for the proposed layout at Lemoor (Sy.No.323, 324/3), Kandukur (M), Rangareddy District",URBAN,AD,LAYOUTS,2,1177387585,21.6,16.6,LOW,C4,Lemoor,Kandukur,Rangareddy,"323, 324/3","Nagarjuna Construction",A,LOW
INFRA-2025-123-C3,"Miyapur Metro Station to Miyapur Metro Station Road Widening","Construction and improvement of road from Miyapur Metro Station to Miyapur Metro Station including widening, drainage and street lighting in Miyapur, Serilingampally",INFRA,RT,ROADS,2,2457851105,28,24.3,LOW,C3,Miyapur,Serilingampally,Medchal-Malkajgiri,"491","AFCONS Infrastructure",AA,LOW
SMART-2025-124-C5,"BHEL Command Center - Sector 1","Development of smart city infrastructure including smart street lighting at Patancheru, Patancheru",SMART,IS,INFRASTRUCTURE,4,1024166232,45.8,39.7,LOW,C5,Patancheru,Patancheru,Sangareddy,"326","Ramky Infrastructure",A,LOW
INFRA-2025-125-C3,"DLF Junction Improvement","Construction and improvement of road from DLF to DLF including widening, drainage and street lighting in Gachibowli, Serilingampally",INFRA,RT,ROADS,2,2073161757,29,21.6,LOW,C3,Gachibowli,Serilingampally,Hyderabad,"356","IRB Infrastructure",AA,LOW
INFRA-2025-126-C1,"Gachibowli Ring Road Construction","Construction and improvement of road from DLF to DLF including widening, drainage and street lighting in Gachibowli, Serilingampally",INFRA,RT,ROADS,9,1680414188,94.5,87.2,MEDIUM,C1,Gachibowli,Serilingampally,Hyderabad,"277","IRB Infrastructure",AA,MEDIUM
INFRA-2025-127-C4,"Road No. 36 Junction Improvement","Construction and improvement of road from Road No. 36 to Road No. 36 including widening, drainage and street lighting in Jubilee Hills, Jubilee Hills",INFRA,RT,ROADS,5,2071777474,57.1,55.9,HIGH,C4,Jubilee Hills,Jubilee Hills,Hyderabad,"531, 532","MEIL",AA,HIGH
INFRA-2025-128-C1,"RGI Airport Command Center - Sector 3","Development of smart city infrastructure including digital kiosks at Shamshabad, Shamshabad",INFRA,WS,INFRASTRUCTURE,5,2571929705,53.9,51.6,MEDIUM,C1,Shamshabad,Shamshabad,Rangareddy,"360, 361/3","L&T Construction",AAA,MEDIUM
INFRA-2025-129-C5,"Road No. 12 to Road No. 12 Road Widening","Construction and improvement of road from Road No. 12 to Road No. 12 including widening, drainage and street lighting in Banjara Hills, Banjara Hills",INFRA,RT,ROADS,1,17276989456,6,1.5,LOW,C5,Banjara Hills,Banjara Hills,Hyderabad,"499, 500","Ramky Infrastructure",A,MEDIUM
SMART-2025-130-C2,"BHEL Command Center - Sector 2","Development of smart city infrastructure including digital kiosks at Patancheru, Patancheru",SMART,DI,INFRASTRUCTURE,7,1385933003,74.6,67.8,HIGH,C2,Patancheru,Patancheru,Sangareddy,"414/5","IRB Infrastructure",AA,HIGH
SMART-2025-131-C2,"Shamshabad Smart City Infrastructure - North","Development of smart city infrastructure including traffic management systems at Shamshabad, Shamshabad",SMART,DI,INFRASTRUCTURE,5,91633727844,54.2,51.6,MEDIUM,C2,Shamshabad,Shamshabad,Rangareddy,"291/4","KNR Constructions",A,MEDIUM
URBAN-2025-132-C4,"Kurmalguda Township Development","Providing Infrastructure facilities for the proposed layout at Kurmalguda (Sy.No.114/1), Balapur (M), Rangareddy District",URBAN,TD,LAYOUTS,9,14291232589,94.1,86.5,LOW,C4,Kurmalguda,Balapur,Rangareddy,"114/1","Tata Projects",AAA,MEDIUM
URBAN-2025-133-C3,"Madhapur Convention Center","Construction of Convention Center at Madhapur, Serilingampally including all amenities and infrastructure",URBAN,PA,BUILDINGS,3,77239189158,33.8,33.4,MEDIUM,C3,Madhapur,Serilingampally,Hyderabad,"570/3","AFCONS Infrastructure",AA,MEDIUM
SMART-2025-134-C4,"Patancheru Smart Infrastructure - Sector 1","Development of smart city infrastructure including smart street lighting at Patancheru, Patancheru",SMART,DI,INFRASTRUCTURE,1,33349538363,10.3,4.1,LOW,C4,Patancheru,Patancheru,Sangareddy,"329p, 330p","IRB Infrastructure",AA,MEDIUM
URBAN-2025-135-C4,"Inmulnarva Township Development","Providing Infrastructure facilities for the proposed layout at Inmulnarva (Sy.No.253, 254), Rangareddy (M), Rangareddy District",URBAN,AD,LAYOUTS,9,48884152933,99.8,99.2,MEDIUM,C4,Inmulnarva,Rangareddy,Rangareddy,"253, 254","KNR Constructions",A,MEDIUM
ENV-2025-136-C1,"Narsingi Eco Park - Phase III","Development and beautification of urban park at Narsingi including walking tracks, children play area and landscaping",ENV,GI,PARKS,1,41004654686,15.9,12.8,LOW,C1,Narsingi,Rajendranagar,Rangareddy,"179, 180, 181","Tata Projects",AAA,MEDIUM
SMART-2025-137-C2,"Shamshabad IoT Network - Sector 1","Development of smart city infrastructure including smart street lighting at Shamshabad, Shamshabad",SMART,DI,INFRASTRUCTURE,8,11399764222,89.6,84.4,MEDIUM,C2,Shamshabad,Shamshabad,Rangareddy,"182, 183A","AFCONS Infrastructure",AA,MEDIUM
URBAN-2025-138-C5,"Madhapur Community Center","Construction of Sports Complex at Madhapur, Serilingampally including all amenities and infrastructure",URBAN,PA,BUILDINGS,3,313902983485,37.2,33,HIGH,C5,Madhapur,Serilingampally,Hyderabad,"581","AFCONS Infrastructure",AA,HIGH
URBAN-2025-139-C2,"Tellapur Layout - Phase II","Providing Infrastructure facilities for the proposed layout at Tellapur (Sy.No.259/4A, 260), Ramachandrapuram (M), Rangareddy District",URBAN,TD,LAYOUTS,2,717197061,28.8,20.7,LOW,C2,Tellapur,Ramachandrapuram,Rangareddy,"259/4A, 260","KNR Constructions",A,LOW
ENV-2025-140-C2,"Nizampet X Roads Green Park","Development and beautification of urban park at Nizampet including walking tracks, children play area and landscaping",ENV,GI,PARKS,5,54031430490,58.5,55.3,MEDIUM,C2,Nizampet,Quthbullapur,Medchal-Malkajgiri,"596","NCC Limited",AA,MEDIUM
SMART-2025-141-C2,"Kompally IoT Network - Sector 1","Development of smart city infrastructure including smart parking systems at Kompally, Quthbullapur",SMART,IS,INFRASTRUCTURE,8,1493055930,81.9,72.5,MEDIUM,C2,Kompally,Quthbullapur,Medchal-Malkajgiri,"352, 353/2B","L&T Construction",AAA,MEDIUM
INFRA-2025-142-C2,"Patancheru Smart City Infrastructure - Zone C","Development of smart city infrastructure including surveillance network at Patancheru, Patancheru",INFRA,WS,INFRASTRUCTURE,9,11400195861,94.7,86.1,LOW,C2,Patancheru,Patancheru,Sangareddy,"374","L&T Construction",AAA,MEDIUM
ENV-2025-143-C5,"Kondapur Children's Park","Development and beautification of urban park at Kondapur including walking tracks, children play area and landscaping",ENV,GI,PARKS,9,1395459050,93.8,87.1,LOW,C5,Kondapur,Serilingampally,Hyderabad,"541, 542","Simplex Infrastructures",A,MEDIUM
INFRA-2025-144-C4,"RGI Airport Command Center - North","Development of smart city infrastructure including surveillance network at Shamshabad, Shamshabad",INFRA,PU,INFRASTRUCTURE,8,371898983099,86,80.7,HIGH,C4,Shamshabad,Shamshabad,Rangareddy,"356/3","KNR Constructions",A,HIGH
INFRA-2025-145-C5,"DLF Road Improvement Works","Construction and improvement of road from DLF to DLF including widening, drainage and street lighting in Gachibowli, Serilingampally",INFRA,RT,ROADS,7,23215795678,70.8,65.4,LOW,C5,Gachibowli,Serilingampally,Hyderabad,"540/5","IRB Infrastructure",AA,MEDIUM
ENV-2025-146-C5,"Tellapur Water Body Development","Rejuvenation and beautification of Tellapur lake including desilting, bund strengthening and pathway development",ENV,PC,LAKES,6,594016508,68.1,62.2,HIGH,C5,Tellapur,Ramachandrapuram,Rangareddy,"166B","Tata Projects",AAA,HIGH
ENV-2025-147-C1,"Bhongir Lake Beautification","Rejuvenation and beautification of Bhongir lake including desilting, bund strengthening and pathway development",ENV,PC,LAKES,1,1088146731,16.6,13.7,LOW,C1,Bhongir,Bhongir,Yadadri Bhuvanagiri,"183, 184","MEIL",AA,LOW
SMART-2025-148-C4,"Shamshabad IoT Network - Sector 2","Development of smart city infrastructure including digital kiosks at Shamshabad, Shamshabad",SMART,IS,INFRASTRUCTURE,7,610945880,70,64.1,MEDIUM,C4,Shamshabad,Shamshabad,Rangareddy,"249/1","Tata Projects",AAA,MEDIUM
ENV-2025-149-C3,"Narsingi Eco Park - Phase II","Development and beautification of urban park at Narsingi including walking tracks, children play area and landscaping",ENV,GI,PARKS,2,1023863422,26.7,24,LOW,C3,Narsingi,Rajendranagar,Rangareddy,"367","Ramky Infrastructure",A,LOW
URBAN-2025-150-C3,"Infrastructure Development at Thorrur","Providing Infrastructure facilities for the proposed layout at Thorrur (Sy.No.425, 426), Abdullapurmet (M), Rangareddy District",URBAN,TD,LAYOUTS,9,1483334250,96.7,90.3,LOW,C3,Thorrur,Abdullapurmet,Rangareddy,"425, 426","Tata Projects",AAA,MEDIUM
