Project ID,Project Name,Category,Sub Category,Current Stage,Total Budget (₹),Physical Progress (%),Financial Progress (%),CE Score,Risk Level,Circle,Ward,Locality,Contractor,Contractor Grade,Planned Start,Planned Completion,Delay Days,Quality Score,Priority
ENV-2025-119-C3,"Metro Station Lake Rejuvenation - Phase 1",ENV,GI,6,978522802,65,56.8,NaN,LOW,C3,"Miyapur","Metro Station","KNR Constructions",A,2024-11-17,2027-07-17,18,80.0,MEDIUM
ENV-2025-120-C3,"Housing Board Lake Rejuvenation - Phase 3",ENV,PC,9,57566233147,97.2,96.6,NaN,MEDIUM,C3,"Bachupally","Housing Board","NCC Limited",AA,2024-08-27,2028-05-27,13,93.1,MEDIUM
ENV-2025-121-C4,"Main Road Lake Rejuvenation - Phase 1",ENV,GI,9,10113965894,97.8,96.3,NaN,HIGH,C4,"Zaheerabad","Main Road","AFCONS Infrastructure",AA,2023-05-14,2027-05-14,89,94.2,HIGH
URBAN-2025-122-C4,"Main Road Township Development - Phase 2",URBAN,AD,2,1177387585,21.6,16.6,NaN,LOW,C4,"Zaheerabad","Main Road","Nagarjuna Construction",A,2024-01-04,2026-12-04,0,88.7,LOW
INFRA-2025-123-C3,"IIT Campus Bridge - Phase 2",INFRA,RT,2,2457851105,28,24.3,NaN,LOW,C3,"Kompally","IIT Campus","AFCONS Infrastructure",AA,2023-04-27,2024-06-27,0,80.4,LOW
SMART-2025-124-C5,"Railway Station Digital Hub - Phase 3",SMART,IS,4,1024166232,45.8,39.7,NaN,LOW,C5,"Tandur","Railway Station","Ramky Infrastructure",A,2024-02-29,2026-04-29,0,71.3,LOW
INFRA-2025-125-C3,"Metro Station Elevated Corridor - Phase 3",INFRA,RT,2,2073161757,29,21.6,NaN,LOW,C3,"Miyapur","Metro Station","IRB Infrastructure",AA,2024-07-18,2026-11-18,0,70.8,LOW
INFRA-2025-126-C1,"Road No. 36 Bridge - Phase 2",INFRA,RT,9,1680414188,94.5,87.2,NaN,MEDIUM,C1,"Jubilee Hills","Road No. 36","IRB Infrastructure",AA,2023-04-20,2024-11-20,50,87.4,MEDIUM
INFRA-2025-127-C4,"Main Road Bridge - Phase 3",INFRA,RT,5,2071777474,57.1,55.9,NaN,HIGH,C4,"Zaheerabad","Main Road","MEIL",AA,2023-03-21,2027-02-21,75,85.8,HIGH
INFRA-2025-128-C1,"DLF Flyover - Phase 2",INFRA,WS,5,2571929705,53.9,51.6,NaN,MEDIUM,C1,"Gachibowli","DLF","L&T Construction",AAA,2023-05-27,2027-05-27,39,77.7,MEDIUM
INFRA-2025-129-C5,"Railway Station Bridge - Phase 1",INFRA,RT,1,17276989456,6,1.5,NaN,LOW,C5,"Tandur","Railway Station","Ramky Infrastructure",A,2023-10-17,2025-11-17,0,90.8,MEDIUM
SMART-2025-130-C2,"IT Corridor Command Center - Phase 2",SMART,DI,7,1385933003,74.6,67.8,NaN,HIGH,C2,"Nanakramguda","IT Corridor","IRB Infrastructure",AA,2024-04-19,2026-04-19,80,70.5,HIGH
SMART-2025-131-C2,"Financial District Command Center - Phase 1",SMART,DI,5,91633727844,54.2,51.6,NaN,MEDIUM,C2,"Kokapet","Financial District","KNR Constructions",A,2023-08-17,2026-09-17,32,94.7,MEDIUM
URBAN-2025-132-C4,"Main Road Township Development - Phase 1",URBAN,TD,9,14291232589,94.1,86.5,NaN,LOW,C4,"Zaheerabad","Main Road","Tata Projects",AAA,2023-05-14,2026-08-14,17,71.4,MEDIUM
URBAN-2025-133-C3,"Metro Station Township Development - Phase 2",URBAN,PA,3,77239189158,33.8,33.4,NaN,MEDIUM,C3,"Miyapur","Metro Station","AFCONS Infrastructure",AA,2023-04-27,2025-07-27,0,93.3,MEDIUM
SMART-2025-134-C4,"Industrial Area Smart Infrastructure - Phase 2",SMART,DI,1,33349538363,10.3,4.1,NaN,LOW,C4,"Patancheru","Industrial Area","IRB Infrastructure",AA,2023-10-20,2025-03-20,0,72.5,MEDIUM
URBAN-2025-135-C4,"Town Center Township Development - Phase 2",URBAN,AD,9,48884152933,99.8,99.2,NaN,MEDIUM,C4,"Sangareddy","Town Center","KNR Constructions",A,2023-05-28,2027-05-28,59,91.2,MEDIUM
ENV-2025-136-C1,"Cyber Towers Lake Rejuvenation - Phase 2",ENV,GI,1,41004654686,15.9,12.8,NaN,LOW,C1,"Hitech City","Cyber Towers","Tata Projects",AAA,2024-04-01,2025-08-01,0,88.0,MEDIUM
SMART-2025-137-C2,"IT Corridor Digital Hub - Phase 2",SMART,DI,8,11399764222,89.6,84.4,NaN,MEDIUM,C2,"Nanakramguda","IT Corridor","AFCONS Infrastructure",AA,2023-10-07,2026-03-07,50,90.6,MEDIUM
URBAN-2025-138-C5,"Market Area Complex - Phase 3",URBAN,PA,3,313902983485,37.2,33,NaN,HIGH,C5,"Chevella","Market Area","AFCONS Infrastructure",AA,2024-03-16,2027-03-16,0,72.2,HIGH
URBAN-2025-139-C2,"Financial District Complex - Phase 2",URBAN,TD,2,717197061,28.8,20.7,NaN,LOW,C2,"Kokapet","Financial District","KNR Constructions",A,2024-09-11,2026-01-11,0,86.0,LOW
ENV-2025-140-C2,"Airport Road Eco Park - Phase 1",ENV,GI,5,54031430490,58.5,55.3,NaN,MEDIUM,C2,"Shamshabad","Airport Road","NCC Limited",AA,2024-08-23,2028-04-23,60,92.6,MEDIUM
SMART-2025-141-C2,"Airport Road Digital Hub - Phase 2",SMART,IS,8,1493055930,81.9,72.5,NaN,MEDIUM,C2,"Shamshabad","Airport Road","L&T Construction",AAA,2023-03-09,2027-01-09,38,84.4,MEDIUM
INFRA-2025-142-C2,"Airport Road Bridge - Phase 2",INFRA,WS,9,11400195861,94.7,86.1,NaN,LOW,C2,"Shamshabad","Airport Road","L&T Construction",AAA,2023-10-14,2027-04-14,6,72.6,MEDIUM
ENV-2025-143-C5,"Market Area Eco Park - Phase 2",ENV,GI,9,1395459050,93.8,87.1,NaN,LOW,C5,"Chevella","Market Area","Simplex Infrastructures",A,2023-11-28,2025-07-28,30,82.1,MEDIUM
INFRA-2025-144-C4,"Main Road Bridge - Phase 3",INFRA,PU,8,371898983099,86,80.7,NaN,HIGH,C4,"Zaheerabad","Main Road","KNR Constructions",A,2023-03-24,2024-01-24,22,93.2,HIGH
INFRA-2025-145-C5,"Bus Stand Bridge - Phase 1",INFRA,RT,7,23215795678,70.8,65.4,NaN,LOW,C5,"Vikarabad","Bus Stand","IRB Infrastructure",AA,2024-09-15,2027-09-15,21,88.1,MEDIUM
ENV-2025-146-C5,"Railway Station Green Belt - Phase 3",ENV,PC,6,594016508,68.1,62.2,NaN,HIGH,C5,"Tandur","Railway Station","Tata Projects",AAA,2023-07-25,2027-07-25,78,80.7,HIGH
ENV-2025-147-C1,"Cyber Towers Eco Park - Phase 2",ENV,PC,1,1088146731,16.6,13.7,NaN,LOW,C1,"Hitech City","Cyber Towers","MEIL",AA,2023-04-02,2024-06-02,0,91.5,LOW
SMART-2025-148-C4,"Main Road Digital Hub - Phase 2",SMART,IS,7,610945880,70,64.1,NaN,MEDIUM,C4,"Zaheerabad","Main Road","Tata Projects",AAA,2023-03-19,2025-08-19,56,90.0,MEDIUM
ENV-2025-149-C3,"X Roads Lake Rejuvenation - Phase 3",ENV,GI,2,1023863422,26.7,24,NaN,LOW,C3,"Nizampet","X Roads","Ramky Infrastructure",A,2023-10-09,2024-10-09,0,88.7,LOW
URBAN-2025-150-C3,"Metro Station Township Development - Phase 3",URBAN,TD,9,1483334250,96.7,90.3,NaN,LOW,C3,"Miyapur","Metro Station","Tata Projects",AAA,2023-07-13,2027-05-13,29,92.0,MEDIUM
