Project ID,Project Name,Category,Work Type,Total Budget (₹ Cr),GO Number,GO Date,Approval Authority,Sanctioned Amount (₹ Cr),Financial Year,AS File Number,Division,Current Stage,Physical Progress (%),Risk Level,Circle,Village,Mandal,Contractor
ENV-2025-099-C1,"Bhongir Fort Green Park",ENV,PARKS,10040.36,G.O.Ms.No.8,2023-08-21,Board,10542,2023-24,"HMDA/DEV/CE/IV/099/2023-24",IV,4,45.9,HIGH,C1,Bhongir,Bhongir,"Simplex Infrastructures"
ENV-2025-100-C1,"Tellapur Lake Beautification",ENV,LAKES,2226.84,G.O.Ms.No.234,2023-10-26,Board,2338,2023-24,"HMDA/DEV/CE/II/100/2023-24",II,8,84.9,MEDIUM,C1,Tellapur,Ramachandrapuram,"MEIL"
URBAN-2025-101-C1,"Tellapur Layout - Phase I",URBAN,LAYOUTS,21282.13,G.O.Ms.No.70,2024-11-04,Board,22346,2024-25,"HMDA/DEV/CE/VI/101/2024-25",VI,4,44.6,HIGH,C1,Tellapur,Ramachandrapuram,"L&T Construction"
ENV-2025-102-C1,"Bhongir Water Body Development",ENV,LAKES,6708.22,G.O.Ms.No.171,2024-05-08,Board,7044,2024-25,"HMDA/DEV/CE/IV/102/2024-25",IV,9,97.6,MEDIUM,C1,Bhongir,Bhongir,"L&T Construction"
URBAN-2025-103-C1,"Gachibowli Community Center",URBAN,BUILDINGS,11172.69,G.O.Rt.No.807,2024-09-25,Board,11731,2024-25,"HMDA/DEV/CE/IV/103/2024-25",IV,3,35.6,HIGH,C1,Gachibowli,Serilingampally,"L&T Construction"
URBAN-2025-104-C3,"Infrastructure Development at Inmulnarva",URBAN,LAYOUTS,3879.83,G.O.Ms.No.206,2023-01-07,Board,4074,2022-23,"HMDA/DEV/CE/III/104/2022-23",III,8,85.9,HIGH,C3,Inmulnarva,Rangareddy,"IRB Infrastructure"
ENV-2025-105-C2,"Banjara Hills Eco Park - Phase A",ENV,PARKS,1805.30,G.O.Ms.No.227,2024-03-19,Board,1896,2023-24,"HMDA/DEV/CE/III/105/2023-24",III,4,45,LOW,C2,Banjara Hills,Banjara Hills,"IRB Infrastructure"
INFRA-2025-106-C3,"RGI Airport Command Center - Sector 1",INFRA,INFRASTRUCTURE,1385.66,G.O.Ms.No.128,2024-05-08,Board,1455,2024-25,"HMDA/DEV/CE/I/106/2024-25",I,1,15.5,LOW,C3,Shamshabad,Shamshabad,"AFCONS Infrastructure"
ENV-2025-107-C4,"Narsingi Children's Park",ENV,PARKS,1574.83,G.O.Ms.No.250,2024-08-08,Board,1654,2024-25,"HMDA/DEV/CE/IV/107/2024-25",IV,8,90,LOW,C4,Narsingi,Rajendranagar,"Tata Projects"
SMART-2025-108-C4,"BHEL Command Center - Zone C",SMART,INFRASTRUCTURE,531.70,G.O.Ms.No.55,2024-04-13,Board,558,2024-25,"HMDA/DEV/CE/VI/108/2024-25",VI,6,62.5,LOW,C4,Patancheru,Patancheru,"Nagarjuna Construction"
SMART-2025-109-C2,"Kompally Smart City Infrastructure - Sector 2",SMART,INFRASTRUCTURE,2385.97,G.O.Ms.No.189,2024-03-16,Board,2505,2023-24,"HMDA/DEV/CE/IV/109/2023-24",IV,3,30.1,LOW,C2,Kompally,Quthbullapur,"Nagarjuna Construction"
INFRA-2025-110-C2,"IIT Campus Road Improvement Works",INFRA,ROADS,56.87,G.O.Rt.No.515,2024-07-01,Secretary,60,2024-25,"HMDA/DEV/CE/II/110/2024-25",II,8,80.2,LOW,C2,Kompally,Quthbullapur,"NCC Limited"
SMART-2025-111-C3,"Patancheru Smart City Infrastructure - Zone B",SMART,INFRASTRUCTURE,162.72,G.O.Ms.No.30,2023-09-02,MC,171,2023-24,"HMDA/DEV/CE/III/111/2023-24",III,6,61.4,LOW,C3,Patancheru,Patancheru,"AFCONS Infrastructure"
ENV-2025-112-C4,"Puppalaguda Water Body Development",ENV,LAKES,7348.10,G.O.Ms.No.203,2024-02-12,Board,7716,2023-24,"HMDA/DEV/CE/V/112/2023-24",V,1,14.8,MEDIUM,C4,Puppalaguda,Rajendranagar,"NCC Limited"
ENV-2025-113-C1,"Nizampet Lake Conservation Project",ENV,LAKES,1601.83,G.O.Ms.No.58,2024-07-16,Board,1682,2024-25,"HMDA/DEV/CE/I/113/2024-25",I,3,35.9,LOW,C1,Nizampet,Quthbullapur,"Ramky Infrastructure"
ENV-2025-114-C1,"Narsingi Cross Roads Park Beautification",ENV,PARKS,7503.87,G.O.Ms.No.179,2023-03-16,Board,7879,2022-23,"HMDA/DEV/CE/I/114/2022-23",I,2,28.8,MEDIUM,C1,Narsingi,Rajendranagar,"Simplex Infrastructures"
ENV-2025-115-C1,"Kondapur Urban Park Development",ENV,PARKS,47661.41,G.O.Ms.No.106,2023-12-23,Board,50044,2023-24,"HMDA/DEV/CE/III/115/2023-24",III,1,7.3,HIGH,C1,Kondapur,Serilingampally,"Nagarjuna Construction"
URBAN-2025-116-C1,"Kokapet Convention Center",URBAN,BUILDINGS,77.83,G.O.Rt.No.747,2023-05-06,Secretary,82,2023-24,"HMDA/DEV/CE/VI/116/2023-24",VI,3,38.6,LOW,C1,Kokapet,Rajendranagar,"IRB Infrastructure"
ENV-2025-117-C3,"Nizampet Tank Restoration",ENV,LAKES,260.92,G.O.Ms.No.215,2022-11-25,Govt,274,2022-23,"HMDA/DEV/CE/V/117/2022-23",V,9,97.9,HIGH,C3,Nizampet,Quthbullapur,"L&T Construction"
INFRA-2025-118-C2,"RGI Airport Command Center - Sector 2",INFRA,INFRASTRUCTURE,111.99,G.O.Ms.No.115,2024-01-28,MC,118,2023-24,"HMDA/DEV/CE/V/118/2023-24",V,8,82.5,MEDIUM,C2,Shamshabad,Shamshabad,"Nagarjuna Construction"
ENV-2025-119-C3,"Narsingi Eco Park - Phase I",ENV,PARKS,97.85,G.O.Ms.No.132,2024-10-17,Secretary,103,2024-25,"HMDA/DEV/CE/IV/119/2024-25",IV,6,65,LOW,C3,Narsingi,Rajendranagar,"KNR Constructions"
ENV-2025-120-C3,"Kollur Lake Conservation Project",ENV,LAKES,5756.62,G.O.Ms.No.133,2024-07-13,Board,6044,2024-25,"HMDA/DEV/CE/VI/120/2024-25",VI,9,97.2,MEDIUM,C3,Kollur,Ramachandrapuram,"NCC Limited"
ENV-2025-121-C4,"Road No. 36 Green Park",ENV,PARKS,1011.40,G.O.Ms.No.53,2023-02-19,Board,1062,2022-23,"HMDA/DEV/CE/VI/121/2022-23",VI,9,97.8,HIGH,C4,Jubilee Hills,Jubilee Hills,"AFCONS Infrastructure"
URBAN-2025-122-C4,"Lemoor Township Development",URBAN,LAYOUTS,117.74,G.O.Ms.No.50,2023-10-14,MC,124,2023-24,"HMDA/DEV/CE/III/122/2023-24",III,2,21.6,LOW,C4,Lemoor,Kandukur,"Nagarjuna Construction"
INFRA-2025-123-C3,"Miyapur Metro Station to Miyapur Metro Station Road Widening",INFRA,ROADS,245.79,G.O.Rt.No.528,2023-03-14,Govt,258,2022-23,"HMDA/DEV/CE/IV/123/2022-23",IV,2,28,LOW,C3,Miyapur,Serilingampally,"AFCONS Infrastructure"
SMART-2025-124-C5,"BHEL Command Center - Sector 1",SMART,INFRASTRUCTURE,102.42,G.O.Ms.No.211,2024-01-17,MC,108,2023-24,"HMDA/DEV/CE/I/124/2023-24",I,4,45.8,LOW,C5,Patancheru,Patancheru,"Ramky Infrastructure"
INFRA-2025-125-C3,"DLF Junction Improvement",INFRA,ROADS,207.32,G.O.Rt.No.965,2024-06-01,Govt,218,2024-25,"HMDA/DEV/CE/VI/125/2024-25",VI,2,29,LOW,C3,Gachibowli,Serilingampally,"IRB Infrastructure"
INFRA-2025-126-C1,"Gachibowli Ring Road Construction",INFRA,ROADS,168.04,G.O.Rt.No.908,2023-03-18,MC,176,2022-23,"HMDA/DEV/CE/V/126/2022-23",V,9,94.5,MEDIUM,C1,Gachibowli,Serilingampally,"IRB Infrastructure"
INFRA-2025-127-C4,"Road No. 36 Junction Improvement",INFRA,ROADS,207.18,G.O.Rt.No.859,2023-01-28,Govt,218,2022-23,"HMDA/DEV/CE/IV/127/2022-23",IV,5,57.1,HIGH,C4,Jubilee Hills,Jubilee Hills,"MEIL"
INFRA-2025-128-C1,"RGI Airport Command Center - Sector 3",INFRA,INFRASTRUCTURE,257.19,G.O.Ms.No.244,2023-03-30,Govt,270,2022-23,"HMDA/DEV/CE/I/128/2022-23",I,5,53.9,MEDIUM,C1,Shamshabad,Shamshabad,"L&T Construction"
INFRA-2025-129-C5,"Road No. 12 to Road No. 12 Road Widening",INFRA,ROADS,1727.70,G.O.Rt.No.655,2023-08-18,Board,1814,2023-24,"HMDA/DEV/CE/I/129/2023-24",I,1,6,LOW,C5,Banjara Hills,Banjara Hills,"Ramky Infrastructure"
SMART-2025-130-C2,"BHEL Command Center - Sector 2",SMART,INFRASTRUCTURE,138.59,G.O.Ms.No.63,2024-01-27,MC,146,2023-24,"HMDA/DEV/CE/IV/130/2023-24",IV,7,74.6,HIGH,C2,Patancheru,Patancheru,"IRB Infrastructure"
SMART-2025-131-C2,"Shamshabad Smart City Infrastructure - North",SMART,INFRASTRUCTURE,9163.37,G.O.Ms.No.71,2023-06-08,Board,9622,2023-24,"HMDA/DEV/CE/II/131/2023-24",II,5,54.2,MEDIUM,C2,Shamshabad,Shamshabad,"KNR Constructions"
URBAN-2025-132-C4,"Kurmalguda Township Development",URBAN,LAYOUTS,1429.12,G.O.Ms.No.137,2023-03-23,Board,1501,2022-23,"HMDA/DEV/CE/VI/132/2022-23",VI,9,94.1,LOW,C4,Kurmalguda,Balapur,"Tata Projects"
URBAN-2025-133-C3,"Madhapur Convention Center",URBAN,BUILDINGS,7723.92,G.O.Rt.No.561,2023-03-20,Board,8110,2022-23,"HMDA/DEV/CE/III/133/2022-23",III,3,33.8,MEDIUM,C3,Madhapur,Serilingampally,"AFCONS Infrastructure"
SMART-2025-134-C4,"Patancheru Smart Infrastructure - Sector 1",SMART,INFRASTRUCTURE,3334.95,G.O.Ms.No.20,2023-08-06,Board,3502,2023-24,"HMDA/DEV/CE/I/134/2023-24",I,1,10.3,LOW,C4,Patancheru,Patancheru,"IRB Infrastructure"
URBAN-2025-135-C4,"Inmulnarva Township Development",URBAN,LAYOUTS,4888.42,G.O.Ms.No.60,2023-04-16,Board,5133,2023-24,"HMDA/DEV/CE/I/135/2023-24",I,9,99.8,MEDIUM,C4,Inmulnarva,Rangareddy,"KNR Constructions"
ENV-2025-136-C1,"Narsingi Eco Park - Phase III",ENV,PARKS,4100.47,G.O.Ms.No.148,2024-02-27,Board,4305,2023-24,"HMDA/DEV/CE/II/136/2023-24",II,1,15.9,LOW,C1,Narsingi,Rajendranagar,"Tata Projects"
SMART-2025-137-C2,"Shamshabad IoT Network - Sector 1",SMART,INFRASTRUCTURE,1139.98,G.O.Ms.No.86,2023-07-22,Board,1197,2023-24,"HMDA/DEV/CE/IV/137/2023-24",IV,8,89.6,MEDIUM,C2,Shamshabad,Shamshabad,"AFCONS Infrastructure"
URBAN-2025-138-C5,"Madhapur Community Center",URBAN,BUILDINGS,31390.30,G.O.Rt.No.649,2024-02-14,Board,32960,2023-24,"HMDA/DEV/CE/V/138/2023-24",V,3,37.2,HIGH,C5,Madhapur,Serilingampally,"AFCONS Infrastructure"
URBAN-2025-139-C2,"Tellapur Layout - Phase II",URBAN,LAYOUTS,71.72,G.O.Ms.No.92,2024-07-23,Secretary,75,2024-25,"HMDA/DEV/CE/I/139/2024-25",I,2,28.8,LOW,C2,Tellapur,Ramachandrapuram,"KNR Constructions"
ENV-2025-140-C2,"Nizampet X Roads Green Park",ENV,PARKS,5403.14,G.O.Ms.No.184,2024-06-17,Board,5673,2024-25,"HMDA/DEV/CE/V/140/2024-25",V,5,58.5,MEDIUM,C2,Nizampet,Quthbullapur,"NCC Limited"
SMART-2025-141-C2,"Kompally IoT Network - Sector 1",SMART,INFRASTRUCTURE,149.31,G.O.Ms.No.35,2022-12-12,MC,157,2022-23,"HMDA/DEV/CE/II/141/2022-23",II,8,81.9,MEDIUM,C2,Kompally,Quthbullapur,"L&T Construction"
INFRA-2025-142-C2,"Patancheru Smart City Infrastructure - Zone C",INFRA,INFRASTRUCTURE,1140.02,G.O.Ms.No.116,2023-07-28,Board,1197,2023-24,"HMDA/DEV/CE/II/142/2023-24",II,9,94.7,LOW,C2,Patancheru,Patancheru,"L&T Construction"
ENV-2025-143-C5,"Kondapur Children's Park",ENV,PARKS,139.55,G.O.Ms.No.12,2023-09-09,MC,147,2023-24,"HMDA/DEV/CE/II/143/2023-24",II,9,93.8,LOW,C5,Kondapur,Serilingampally,"Simplex Infrastructures"
INFRA-2025-144-C4,"RGI Airport Command Center - North",INFRA,INFRASTRUCTURE,37189.90,G.O.Ms.No.216,2023-02-14,Board,39049,2022-23,"HMDA/DEV/CE/IV/144/2022-23",IV,8,86,HIGH,C4,Shamshabad,Shamshabad,"KNR Constructions"
INFRA-2025-145-C5,"DLF Road Improvement Works",INFRA,ROADS,2321.58,G.O.Rt.No.589,2024-08-09,Board,2438,2024-25,"HMDA/DEV/CE/IV/145/2024-25",IV,7,70.8,LOW,C5,Gachibowli,Serilingampally,"IRB Infrastructure"
ENV-2025-146-C5,"Tellapur Water Body Development",ENV,LAKES,59.40,G.O.Ms.No.90,2023-06-19,Secretary,62,2023-24,"HMDA/DEV/CE/III/146/2023-24",III,6,68.1,HIGH,C5,Tellapur,Ramachandrapuram,"Tata Projects"
ENV-2025-147-C1,"Bhongir Lake Beautification",ENV,LAKES,108.81,G.O.Ms.No.83,2023-02-07,MC,114,2022-23,"HMDA/DEV/CE/I/147/2022-23",I,1,16.6,LOW,C1,Bhongir,Bhongir,"MEIL"
SMART-2025-148-C4,"Shamshabad IoT Network - Sector 2",SMART,INFRASTRUCTURE,61.09,G.O.Ms.No.123,2023-01-17,Secretary,64,2022-23,"HMDA/DEV/CE/III/148/2022-23",III,7,70,MEDIUM,C4,Shamshabad,Shamshabad,"Tata Projects"
ENV-2025-149-C3,"Narsingi Eco Park - Phase II",ENV,PARKS,102.39,G.O.Ms.No.205,2023-07-17,MC,108,2023-24,"HMDA/DEV/CE/IV/149/2023-24",IV,2,26.7,LOW,C3,Narsingi,Rajendranagar,"Ramky Infrastructure"
URBAN-2025-150-C3,"Infrastructure Development at Thorrur",URBAN,LAYOUTS,148.33,G.O.Ms.No.100,2023-05-02,MC,156,2023-24,"HMDA/DEV/CE/VI/150/2023-24",VI,9,96.7,LOW,C3,Thorrur,Abdullapurmet,"Tata Projects"
